,Opponent,Color,Accuracy,AvgLoss,Blunders,Mistakes,Inaccuracies,TotalMoves,Normalized AvgLoss,Normalized Accuracy
0,Ryobrishko,White,90.8,52.6,2,5,5,57,7.252585745787498,8244.64
1,dochedi,Black,85.3,63.1,3,3,4,37,7.9435508432942,7276.089999999999
2,Lord_Gin,Black,80.9,95.6,6,7,13,55,9.777525249264253,6544.810000000001
3,jin_kafirrr,White,97.1,14.7,0,1,1,39,3.8340579025361627,9428.409999999998
4,yoclaudiotarta,White,92.4,37.4,0,3,4,24,6.115553940568262,8537.76
5,kng777,Black,88.3,84.9,2,1,3,33,9.214119599831555,7796.889999999999
6,BodiKneg,Black,85.6,59.900000000000006,2,3,3,36,7.73950902835574,7327.359999999999
7,ferdinand_dc,White,87.9,70.3,4,4,5,58,8.384509526501834,7726.410000000001
8,Shriku10,White,91.3,30.9,0,3,5,24,5.558776843874918,8335.689999999999
9,AndreyNovosibirsk154,Black,79.5,124.2,5,2,3,24,11.144505372604026,6320.25
10,kennyZed,Black,91.4,24.4,0,1,5,25,4.9396356140913875,8353.960000000001
